;Заклинания		РВС	ЛКТБНДКВЧВОККВ
атака левой		!!!	!!!!!!!!!!!!!!
лидерство *		!!!	!!!!!!!!!!!!!!
опознание *		!!!	!!....!!!!!!!!
лечить *		!!!	!....!...!....
кулачный бой		!!!	!!!!!!!!!!!!!!
палицы и		!!!	!!!!!!!!!!!!!!
иное оружие		!!!	!!!!!!!!!!!!!!
короткие лезвия		!!!	!!!!!!!!!!!!!!
опохмелиться *		!!!	!!!!!!!!!!!!!!
подножка *		!!!	..!.!!!!!.....
замести следы		!!!	..!.!.....!...
заколоть *		!!!	..!.!.........
спрятаться *		!!!	..!.!.......!.
взломать *		!!!	..!...........
подкрасться *		!!!	..!.!.........
украсть *		!!!	..!.........!.
проникающее *		!!!	!.!!!!...!!!!.
прислушаться *		!!!	..!.!.......!.
уклониться *		!!!	..!.!.........
подсмотреть *		!!!	..!.!.........
копья и			!!!	!!!!!!!!!!!!!!
перехватить *		!!!	...!..........
прикрыть *		!!!	...!..........
удар левой		!!!	...!..........
богатырский молот	!!!	...!..........
оглушить *		!!!	...!.......!..
сражение верхом		!!!	!!!!!!!!!!!!!!
пнуть *			!!!	...!.!...!!!!.
спасти *		!!!	...!.!...!!!..
выследить *		!!!	...!!!...!!!..
секиры *		!!!	!..!.!...!!!..
длинные лезвия		!!!	...!.!...!.!..
двуручники *		!!!	...!.!...!.!..
обезоружить *		!!!	...!.!...!!...
ярость *		!!!	...!.......!..
отравить *		!!!	....!...!.....
скрытый удар		!!!	....!.........
осторожный стиль	!!!	....!!......!.
сбить *			!!!	.....!...!!!..
веерная защита		!!!	.....!........
парировать *		!!!	.....!...!!!..
луки *			!!!	!.!.!!...!!...
врата *			!!!	.......!......
точный стиль		!!!	.........!....
блокировать щитом	!!!	.........!....
найти *			!!!	..........!...
приглядеться *		!!!	..........!...
маскировка *		!!!	..........!...
освежевать *		!!!	..........!...
разжечь костер		!!!	..........!...
дополнительный выстрел	!!!	..........!...
смастерить лук		!!!	..........!...
ремонт *		!!!	...........!..
заточить *		!!!	...........!..
укрепить *		!!!	...........!..
перековать *		!!!	...........!..
метнуть	*		!!!	............!.
сглазить *		!!!	.............!
горное дело  		!!!	!!!!!!!!!!!!!!
ювелир *		!!!	...........!..
боевой клич		!!!	...!..........
изгнать нежить		!!!	!........!....
