;содержатель гостинницы
mob 106  rent
mob 195  rent
mob 2001 rent
mob 4022 rent
mob 5022 rent
mob 6000 rent
mob 7025 rent
mob 8021 rent
mob 9021 rent
mob 12514 rent
mob 12610 rent
mob 13101 rent
mob 13404 rent
mob 13506 rent
mob 13901 rent
mob 14604 rent
mob 15807 rent
mob 15903 rent
mob 18202 rent
mob 20908 rent
mob 21001 rent
mob 21100 rent
;mob 21201 rent
mob 21301 rent
mob 23718 rent
mob 24008 rent
mob 25002 rent
mob 25307 rent
mob 25614 rent
mob 27005 rent
mob 27023 rent
mob 30200 rent
mob 30411 rent
mob 31209 rent
mob 32402 rent
mob 34409 rent
mob 35006 rent
mob 35601 rent
mob 35706 rent
mob 42101 rent
mob 49800 rent
mob 49902 rent
mob 50020 rent
mob 58012 rent
mob 58103 rent
mob 60000 rent
mob 60226 rent
mob 61007 rent
mob 62000 rent
mob 62052 rent
mob 63016 rent
mob 63618 rent
mob 64007 rent
mob 66027 rent
mob 68000 rent
mob 69005 rent
mob 71310 rent
mob 72009 rent
mob 73016 rent
mob 75000 rent
mob 76027 rent
mob 76601 rent
mob 77027 rent
mob 77041 rent
mob 77501 rent
mob 77604 rent
mob 77707 rent
mob 85148 rent
mob 85155 rent
mob 85510 rent
mob 85601 rent

;почтальон
mob 2002 mail
;mob 4002 mail
mob 4070 mail
mob 8035 mail
mob 9020 mail
mob 12512 mail
mob 13102 mail
mob 13402 mail
mob 13519 mail
mob 13902 mail
mob 14602 mail
mob 15809 mail
mob 20907 mail
mob 21020 mail
;mob 21202 mail
mob 21302 mail
mob 23709 mail
mob 24024 mail 
mob 25306 mail
mob 30223 mail
mob 31214 mail
mob 32417 mail
mob 35024 mail  
mob 35606 mail  
mob 58015 mail  
mob 35709 mail
mob 58109 mail
mob 60214 mail
mob 61003 mail
;mob 62055 mail
mob 64032 mail
mob 66002 mail
mob 69002 mail
mob 72011 mail
mob 73022 mail
mob 75004 mail
mob 76602 mail
mob 77502 mail
mob 77710 mail
mob 85144 mail
mob 85509 mail
mob 85602 mail

;банкир
mob 2004 bank
mob 4001 bank
mob 5001 bank
mob 6016 bank
mob 7024 bank
mob 8010 bank
mob 9010 bank
mob 12501 bank
mob 12605 bank
mob 13104 bank
mob 13408 bank
mob 13520 bank
mob 13904 bank
mob 14608 bank
mob 15806 bank
mob 15901 bank
mob 18204 bank
mob 20909 bank
mob 21006 bank
;mob 21204 bank
mob 21304 bank
mob 23701 bank
mob 24013 bank
mob 25023 bank
mob 25305 bank
mob 25615 bank
mob 27001 bank
mob 30229 bank
mob 30414 bank
mob 31208 bank
mob 32401 bank
mob 34412 bank
mob 35025 bank
mob 35605 bank
mob 42106 bank
mob 49810 bank
mob 49932 bank
mob 58019 bank
mob 58105 bank
mob 60020 bank
mob 60213 bank
mob 61005 bank
mob 62002 bank
mob 63018 bank
mob 63609 bank
mob 64012 bank
mob 66003 bank
mob 68020 bank
mob 69008 bank
mob 71308 bank
mob 72005 bank
mob 72547 bank
mob 73015 bank
mob 75002 bank
mob 76008 bank
mob 76604 bank
mob 77008 bank
mob 77504 bank
mob 77601 bank
mob 77702 bank
mob 35705 bank
mob 85154 bank
mob 85507 bank
mob 85604 bank

;продавец лошадей
mob 2003 horse
mob 4023 horse
mob 5023 horse
mob 6004 horse
mob 7027 horse
mob 8020 horse
mob 9029 horse
mob 13521 horse
mob 18200 horse
mob 21106 horse
;mob 21203 horse
mob 24007 horse
mob 25022 horse
mob 25611 horse
mob 27006 horse
mob 30235 horse
mob 34419 horse
mob 35013 horse
mob 49930 horse
mob 60014 horse
mob 60211 horse
mob 61002 horse
mob 62035 horse
mob 63008 horse
mob 64009 horse
mob 66007 horse
mob 68014 horse
mob 69006 horse
mob 72004 horse
mob 73021 horse
mob 75005 horse
mob 76039 horse
mob 76603 horse
mob 77039 horse
mob 77701 horse
mob 85162 horse
mob 85603 horse

;биржевики
mob 2013  exchange
mob 14607 exchange
mob 27074 exchange
mob 27073 exchange 
mob 32404 exchange
mob 85102 exchange
mob 85506 exchange
mob 85610 exchange
mob 35016 exchange

;доски обьявлений
obj 250 board
obj 251 board
obj 252 board
obj 253 board
obj 254 board
obj 255 board
obj 256 board
obj 257 board
obj 258 board
obj 259 board
obj 267 board
obj 268 board
